year,state,total,male,female
1978,AL,5625,5368,257
1978,AK,712,678,34
1978,AZ,3456,3275,181
1978,AR,2654,2553,101
1978,CA,21325,20178,1147
1978,CO,2486,2419,67
1978,CT,3189,3044,145
1978,DE,1325,1261,64
1978,DC,2864,2784,80
1978,FL,21436,20572,864
1978,GA,11317,10762,555
1978,HI,727,690,37
1978,ID,802,772,30
1978,IL,11258,10918,340
1978,IN,4923,4754,169
1978,IA,1982,1909,73
1978,KS,2341,2243,98
1978,KY,3390,3279,111
1978,LA,7291,7083,208
1978,ME,711,695,16
1978,MD,7966,7722,244
1978,MA,2806,2724,82
1978,MI,14944,14323,621
1978,MN,1954,1878,76
1978,MS,2896,2785,111
1978,MO,5637,5455,182
1978,MT,690,675,15
1978,NE,1347,1264,83
1978,NV,1350,1274,76
1978,NH,283,277,6
1978,NJ,5869,5693,176
1978,NM,1593,1526,67
1978,NY,20459,19899,560
1978,NC,13252,12718,534
1978,ND,200,196,4
1978,OH,13107,12569,538
1978,OK,4186,4010,176
1978,OR,2879,2757,122
1978,PA,7814,7585,229
1978,RI,664,648,16
1978,SC,7536,7234,302
1978,SD,532,514,18
1978,TN,5835,5574,261
1978,TX,24575,23570,1005
1978,UT,911,875,36
1978,VT,441,430,11
1978,VA,8344,7985,359
1978,WA,4487,4251,236
1978,WV,1237,1208,29
1978,WI,3432,3285,147
1978,WY,433,414,19
1978,ST,277473,266555,10918
1978,US,307276,294530,12746
1978,FE,29803,27975,1828
1979,AL,5464,5221,243
1979,AK,760,729,31
1979,AZ,3749,3573,176
1979,AR,3042,2927,115
1979,CA,22632,21400,1232
1979,CO,2668,2587,81
1979,CT,4061,3919,142
1979,DE,1419,1355,64
1979,DC,2973,2899,74
1979,FL,19748,18919,829
1979,GA,12106,11556,550
1979,HI,856,809,47
1979,ID,830,796,34
1979,IL,11935,11469,466
1979,IN,5667,5475,192
1979,IA,2272,2176,96
1979,KS,2290,2208,82
1979,KY,3691,3550,141
1979,LA,7618,7382,236
1979,ME,776,758,18
1979,MD,7860,7638,222
1979,MA,2924,2837,87
1979,MI,15002,14374,628
1979,MN,2094,2017,77
1979,MS,3508,3401,107
1979,MO,5279,5076,203
1979,MT,715,695,20
1979,NE,1291,1228,63
1979,NV,1566,1475,91
1979,NH,316,311,5
1979,NJ,5852,5664,188
1979,NM,1556,1509,47
1979,NY,20856,20259,597
1979,NC,14255,13691,564
1979,ND,186,184,2
1979,OH,13360,12762,598
1979,OK,4250,4073,177
1979,OR,3179,3059,120
1979,PA,7772,7524,248
1979,RI,738,721,17
1979,SC,7643,7327,316
1979,SD,562,538,24
1979,TN,6629,6346,283
1979,TX,26522,25355,1167
1979,UT,960,926,34
